VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
HOPITBED,Total hospital beds,NOMBRENB,Number,BEL,Belgium,2000,2000,68783,,
HOPITBED,Total hospital beds,NOMBRENB,Number,BEL,Belgium,2001,2001,68150,,
HOPITBED,Total hospital beds,NOMBRENB,Number,BEL,Belgium,2002,2002,67742,,
HOPITBED,Total hospital beds,NOMBRENB,Number,BEL,Belgium,2003,2003,67756,,
HOPITBED,Total hospital beds,NOMBRENB,Number,BEL,Belgium,2004,2004,67474,,
HOPITBED,Total hospital beds,NOMBRENB,Number,BEL,Belgium,2005,2005,67419,,
HOPITBED,Total hospital beds,NOMBRENB,Number,BEL,Belgium,2006,2006,67246,,
HOPITBED,Total hospital beds,NOMBRENB,Number,BEL,Belgium,2007,2007,67155,,
HOPITBED,Total hospital beds,NOMBRENB,Number,BEL,Belgium,2008,2008,67020,,
HOPITBED,Total hospital beds,NOMBRENB,Number,BEL,Belgium,2009,2009,66929,,
HOPITBED,Total hospital beds,NOMBRENB,Number,BEL,Belgium,2010,2010,66867,,
HOPITBED,Total hospital beds,NOMBRENB,Number,BEL,Belgium,2011,2011,66609,,
HOPITBED,Total hospital beds,NOMBRENB,Number,BEL,Belgium,2012,2012,66394,,
HOPITBED,Total hospital beds,NOMBRENB,Number,BEL,Belgium,2013,2013,66133,,
HOPITBED,Total hospital beds,NOMBRENB,Number,BEL,Belgium,2014,2014,65918,,
HOPITBED,Total hospital beds,NOMBRENB,Number,BEL,Belgium,2015,2015,65649,,
HOPITBED,Total hospital beds,NOMBRENB,Number,BEL,Belgium,2016,2016,64498,,
HOPITBED,Total hospital beds,NOMBRENB,Number,BEL,Belgium,2017,2017,64448,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CAN,Canada,2000,2000,115829,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CAN,Canada,2001,2001,114376,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CAN,Canada,2002,2002,114174,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CAN,Canada,2003,2003,110637,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CAN,Canada,2004,2004,109868,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CAN,Canada,2005,2005,99957,B,Break
HOPITBED,Total hospital beds,NOMBRENB,Number,CAN,Canada,2006,2006,98289,B,Break
HOPITBED,Total hospital beds,NOMBRENB,Number,CAN,Canada,2007,2007,97460,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CAN,Canada,2008,2008,94801,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CAN,Canada,2009,2009,94297,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CAN,Canada,2010,2010,94702,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CAN,Canada,2011,2011,96040,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CAN,Canada,2012,2012,96710,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CAN,Canada,2013,2013,95409,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CAN,Canada,2014,2014,94779,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CAN,Canada,2015,2015,93595,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CAN,Canada,2016,2016,93715,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CAN,Canada,2017,2017,93719,P,Provisional value
HOPITBED,Total hospital beds,NOMBRENB,Number,CZE,Czech Republic,2000,2000,79985,B,Break
HOPITBED,Total hospital beds,NOMBRENB,Number,CZE,Czech Republic,2001,2001,79354,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CZE,Czech Republic,2002,2002,79177,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CZE,Czech Republic,2003,2003,78825,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CZE,Czech Republic,2004,2004,78004,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CZE,Czech Republic,2005,2005,77309,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CZE,Czech Republic,2006,2006,76245,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CZE,Czech Republic,2007,2007,75502,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CZE,Czech Republic,2008,2008,74924,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CZE,Czech Republic,2009,2009,74607,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CZE,Czech Republic,2010,2010,73746,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CZE,Czech Republic,2011,2011,71750,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CZE,Czech Republic,2012,2012,70014,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CZE,Czech Republic,2013,2013,67888,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CZE,Czech Republic,2014,2014,67937,B,Break
HOPITBED,Total hospital beds,NOMBRENB,Number,CZE,Czech Republic,2015,2015,68392,,
HOPITBED,Total hospital beds,NOMBRENB,Number,CZE,Czech Republic,2016,2016,72392,B,Break
HOPITBED,Total hospital beds,NOMBRENB,Number,DNK,Denmark,2000,2000,22927,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DNK,Denmark,2001,2001,22604,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DNK,Denmark,2002,2002,23040,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DNK,Denmark,2003,2003,22281,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DNK,Denmark,2004,2004,21462,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DNK,Denmark,2005,2005,20902,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DNK,Denmark,2006,2006,20613,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DNK,Denmark,2007,2007,20159,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DNK,Denmark,2008,2008,19615,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DNK,Denmark,2009,2009,19296,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DNK,Denmark,2010,2010,19405,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DNK,Denmark,2011,2011,17433,B,Break
HOPITBED,Total hospital beds,NOMBRENB,Number,DNK,Denmark,2013,2013,17241,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DNK,Denmark,2014,2014,15174,B,Break
HOPITBED,Total hospital beds,NOMBRENB,Number,DNK,Denmark,2015,2015,14380,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DNK,Denmark,2016,2016,14871,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DNK,Denmark,2017,2017,12398,E,Estimated value
HOPITBED,Total hospital beds,NOMBRENB,Number,FIN,Finland,2000,2000,39027.03,B,Break
HOPITBED,Total hospital beds,NOMBRENB,Number,FIN,Finland,2001,2001,38715.09,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FIN,Finland,2002,2002,38231.8,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FIN,Finland,2003,2003,37759.31,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FIN,Finland,2004,2004,37116.7,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FIN,Finland,2005,2005,37000.28,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FIN,Finland,2006,2006,36793.36,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FIN,Finland,2007,2007,35609.07,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FIN,Finland,2008,2008,34900.45,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FIN,Finland,2009,2009,33379.69,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FIN,Finland,2010,2010,31396.19,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FIN,Finland,2011,2011,29751.23,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FIN,Finland,2012,2012,28684.98,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FIN,Finland,2013,2013,26499.49,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FIN,Finland,2014,2014,24740.91,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FIN,Finland,2015,2015,23854.17,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FIN,Finland,2016,2016,21835,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FRA,France,2000,2000,484279,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FRA,France,2001,2001,479025,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FRA,France,2002,2002,475431,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FRA,France,2003,2003,468418,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FRA,France,2004,2004,462143,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FRA,France,2005,2005,455175,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FRA,France,2006,2006,451110,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FRA,France,2007,2007,450615,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FRA,France,2008,2008,443008,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FRA,France,2009,2009,429674,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FRA,France,2010,2010,416710,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FRA,France,2011,2011,414204,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FRA,France,2012,2012,414840,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FRA,France,2013,2013,413206,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FRA,France,2014,2014,410921,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FRA,France,2015,2015,408245,,
HOPITBED,Total hospital beds,NOMBRENB,Number,FRA,France,2016,2016,404248,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DEU,Germany,2000,2000,749473,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DEU,Germany,2001,2001,741933,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DEU,Germany,2002,2002,731919,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DEU,Germany,2003,2003,721690,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DEU,Germany,2004,2004,707806,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DEU,Germany,2005,2005,698303,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DEU,Germany,2006,2006,683484,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DEU,Germany,2007,2007,677799,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DEU,Germany,2008,2008,674420,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DEU,Germany,2009,2009,674830,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DEU,Germany,2010,2010,674473,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DEU,Germany,2011,2011,672573,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DEU,Germany,2012,2012,670443,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DEU,Germany,2013,2013,667560,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DEU,Germany,2014,2014,666337,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DEU,Germany,2015,2015,664364,,
HOPITBED,Total hospital beds,NOMBRENB,Number,DEU,Germany,2016,2016,663941,,
HOPITBED,Total hospital beds,NOMBRENB,Number,GRC,Greece,2000,2000,51500,,
HOPITBED,Total hospital beds,NOMBRENB,Number,GRC,Greece,2001,2001,52276,,
HOPITBED,Total hospital beds,NOMBRENB,Number,GRC,Greece,2002,2002,51781,,
HOPITBED,Total hospital beds,NOMBRENB,Number,GRC,Greece,2003,2003,51762,,
HOPITBED,Total hospital beds,NOMBRENB,Number,GRC,Greece,2004,2004,51871,,
HOPITBED,Total hospital beds,NOMBRENB,Number,GRC,Greece,2005,2005,52511,,
HOPITBED,Total hospital beds,NOMBRENB,Number,GRC,Greece,2006,2006,53701,,
HOPITBED,Total hospital beds,NOMBRENB,Number,GRC,Greece,2007,2007,53888,,
HOPITBED,Total hospital beds,NOMBRENB,Number,GRC,Greece,2008,2008,53652,,
HOPITBED,Total hospital beds,NOMBRENB,Number,GRC,Greece,2009,2009,54704,,
HOPITBED,Total hospital beds,NOMBRENB,Number,GRC,Greece,2010,2010,49828,,
HOPITBED,Total hospital beds,NOMBRENB,Number,GRC,Greece,2011,2011,49692,,
HOPITBED,Total hospital beds,NOMBRENB,Number,GRC,Greece,2012,2012,49100,,
HOPITBED,Total hospital beds,NOMBRENB,Number,GRC,Greece,2013,2013,46510,,
HOPITBED,Total hospital beds,NOMBRENB,Number,GRC,Greece,2014,2014,46160,,
HOPITBED,Total hospital beds,NOMBRENB,Number,GRC,Greece,2015,2015,45945,,
HOPITBED,Total hospital beds,NOMBRENB,Number,GRC,Greece,2016,2016,45273,,
HOPITBED,Total hospital beds,NOMBRENB,Number,HUN,Hungary,2000,2000,83271,,
HOPITBED,Total hospital beds,NOMBRENB,Number,HUN,Hungary,2001,2001,80665,,
HOPITBED,Total hospital beds,NOMBRENB,Number,HUN,Hungary,2002,2002,80360,,
HOPITBED,Total hospital beds,NOMBRENB,Number,HUN,Hungary,2003,2003,79976,,
HOPITBED,Total hospital beds,NOMBRENB,Number,HUN,Hungary,2004,2004,79722,,
HOPITBED,Total hospital beds,NOMBRENB,Number,HUN,Hungary,2005,2005,79834,,
HOPITBED,Total hospital beds,NOMBRENB,Number,HUN,Hungary,2006,2006,80341,,
HOPITBED,Total hospital beds,NOMBRENB,Number,HUN,Hungary,2007,2007,72260,B,Break
HOPITBED,Total hospital beds,NOMBRENB,Number,HUN,Hungary,2008,2008,71322,,
HOPITBED,Total hospital beds,NOMBRENB,Number,HUN,Hungary,2009,2009,71600,,
HOPITBED,Total hospital beds,NOMBRENB,Number,HUN,Hungary,2010,2010,71818,,
HOPITBED,Total hospital beds,NOMBRENB,Number,HUN,Hungary,2011,2011,71669,,
HOPITBED,Total hospital beds,NOMBRENB,Number,HUN,Hungary,2012,2012,69449,,
HOPITBED,Total hospital beds,NOMBRENB,Number,HUN,Hungary,2013,2013,69621,,
HOPITBED,Total hospital beds,NOMBRENB,Number,HUN,Hungary,2014,2014,68910,,
HOPITBED,Total hospital beds,NOMBRENB,Number,HUN,Hungary,2015,2015,68843,,
HOPITBED,Total hospital beds,NOMBRENB,Number,HUN,Hungary,2016,2016,68713,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ISL,Iceland,2007,2007,1283,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ISL,Iceland,2008,2008,1241,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ISL,Iceland,2009,2009,1178,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ISL,Iceland,2010,2010,1140,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ISL,Iceland,2011,2011,1050,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ISL,Iceland,2012,2012,1041,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ISL,Iceland,2013,2013,1043,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ISL,Iceland,2014,2014,1035,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ISL,Iceland,2015,2015,1032,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ISL,Iceland,2016,2016,1051,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ISL,Iceland,2017,2017,1052,,
HOPITBED,Total hospital beds,NOMBRENB,Number,IRL,Ireland,2000,2000,23334,,
HOPITBED,Total hospital beds,NOMBRENB,Number,IRL,Ireland,2001,2001,22658,,
HOPITBED,Total hospital beds,NOMBRENB,Number,IRL,Ireland,2002,2002,22732,,
HOPITBED,Total hospital beds,NOMBRENB,Number,IRL,Ireland,2003,2003,22668,,
HOPITBED,Total hospital beds,NOMBRENB,Number,IRL,Ireland,2004,2004,22961,,
HOPITBED,Total hospital beds,NOMBRENB,Number,IRL,Ireland,2005,2005,22711,,
HOPITBED,Total hospital beds,NOMBRENB,Number,IRL,Ireland,2006,2006,22472,,
HOPITBED,Total hospital beds,NOMBRENB,Number,IRL,Ireland,2007,2007,22421,,
HOPITBED,Total hospital beds,NOMBRENB,Number,IRL,Ireland,2008,2008,21789,,
HOPITBED,Total hospital beds,NOMBRENB,Number,IRL,Ireland,2009,2009,12813,B,Break
HOPITBED,Total hospital beds,NOMBRENB,Number,IRL,Ireland,2010,2010,12434,,
HOPITBED,Total hospital beds,NOMBRENB,Number,IRL,Ireland,2011,2011,12008,,
HOPITBED,Total hospital beds,NOMBRENB,Number,IRL,Ireland,2012,2012,11692,,
HOPITBED,Total hospital beds,NOMBRENB,Number,IRL,Ireland,2013,2013,11837,,
HOPITBED,Total hospital beds,NOMBRENB,Number,IRL,Ireland,2014,2014,11989,,
HOPITBED,Total hospital beds,NOMBRENB,Number,IRL,Ireland,2015,2015,14076,B,Break
HOPITBED,Total hospital beds,NOMBRENB,Number,ITA,Italy,2000,2000,268057,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ITA,Italy,2001,2001,262861,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ITA,Italy,2002,2002,253411,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ITA,Italy,2003,2003,239566,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ITA,Italy,2004,2004,231915,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ITA,Italy,2005,2005,234375,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ITA,Italy,2006,2006,232168,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ITA,Italy,2007,2007,228286,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ITA,Italy,2008,2008,223015,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ITA,Italy,2009,2009,218264,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ITA,Italy,2010,2010,215980,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ITA,Italy,2011,2011,208854,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ITA,Italy,2012,2012,203723,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ITA,Italy,2013,2013,199474,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ITA,Italy,2014,2014,195189,,
HOPITBED,Total hospital beds,NOMBRENB,Number,ITA,Italy,2015,2015,194065,,
HOPITBED,Total hospital beds,NOMBRENB,Number,JPN,Japan,2000,2000,1864008,,
HOPITBED,Total hospital beds,NOMBRENB,Number,JPN,Japan,2001,2001,1856341,,
HOPITBED,Total hospital beds,NOMBRENB,Number,JPN,Japan,2002,2002,1839189,,
HOPITBED,Total hospital beds,NOMBRENB,Number,JPN,Japan,2003,2003,1820035,,
HOPITBED,Total hospital beds,NOMBRENB,Number,JPN,Japan,2004,2004,1812554,,
HOPITBED,Total hospital beds,NOMBRENB,Number,JPN,Japan,2005,2005,1798473,,
HOPITBED,Total hospital beds,NOMBRENB,Number,JPN,Japan,2006,2006,1786487,,
HOPITBED,Total hospital beds,NOMBRENB,Number,JPN,Japan,2007,2007,1775316,,
HOPITBED,Total hospital beds,NOMBRENB,Number,JPN,Japan,2008,2008,1755971,,
HOPITBED,Total hospital beds,NOMBRENB,Number,JPN,Japan,2009,2009,1743293,,
HOPITBED,Total hospital beds,NOMBRENB,Number,JPN,Japan,2010,2010,1730215,,
HOPITBED,Total hospital beds,NOMBRENB,Number,JPN,Japan,2011,2011,1712439,,
HOPITBED,Total hospital beds,NOMBRENB,Number,JPN,Japan,2012,2012,1703853,,
HOPITBED,Total hospital beds,NOMBRENB,Number,JPN,Japan,2013,2013,1695114,,
HOPITBED,Total hospital beds,NOMBRENB,Number,JPN,Japan,2014,2014,1680625,,
HOPITBED,Total hospital beds,NOMBRENB,Number,JPN,Japan,2015,2015,1673594,,
HOPITBED,Total hospital beds,NOMBRENB,Number,JPN,Japan,2016,2016,1664456,,
HOPITBED,Total hospital beds,NOMBRENB,Number,KOR,Korea,2000,2000,218676,,
HOPITBED,Total hospital beds,NOMBRENB,Number,KOR,Korea,2001,2001,210970,,
HOPITBED,Total hospital beds,NOMBRENB,Number,KOR,Korea,2002,2002,230353,,
HOPITBED,Total hospital beds,NOMBRENB,Number,KOR,Korea,2003,2003,243547,,
HOPITBED,Total hospital beds,NOMBRENB,Number,KOR,Korea,2004,2004,260405,,
HOPITBED,Total hospital beds,NOMBRENB,Number,KOR,Korea,2005,2005,284084,,
HOPITBED,Total hospital beds,NOMBRENB,Number,KOR,Korea,2006,2006,314082,,
HOPITBED,Total hospital beds,NOMBRENB,Number,KOR,Korea,2007,2007,352540,,
HOPITBED,Total hospital beds,NOMBRENB,Number,KOR,Korea,2008,2008,379074,,
HOPITBED,Total hospital beds,NOMBRENB,Number,KOR,Korea,2009,2009,403932,,
HOPITBED,Total hospital beds,NOMBRENB,Number,KOR,Korea,2010,2010,432876,,
HOPITBED,Total hospital beds,NOMBRENB,Number,KOR,Korea,2011,2011,475744,,
HOPITBED,Total hospital beds,NOMBRENB,Number,KOR,Korea,2012,2012,514687,,
HOPITBED,Total hospital beds,NOMBRENB,Number,KOR,Korea,2013,2013,550543,,
HOPITBED,Total hospital beds,NOMBRENB,Number,KOR,Korea,2014,2014,587993,,
HOPITBED,Total hospital beds,NOMBRENB,Number,KOR,Korea,2015,2015,592262,,
HOPITBED,Total hospital beds,NOMBRENB,Number,KOR,Korea,2016,2016,613968,,
HOPITBED,Total hospital beds,NOMBRENB,Number,LUX,Luxembourg,2004,2004,2929,,
HOPITBED,Total hospital beds,NOMBRENB,Number,LUX,Luxembourg,2005,2005,2691,,
HOPITBED,Total hospital beds,NOMBRENB,Number,LUX,Luxembourg,2006,2006,2671,,
HOPITBED,Total hospital beds,NOMBRENB,Number,LUX,Luxembourg,2007,2007,2721,,
HOPITBED,Total hospital beds,NOMBRENB,Number,LUX,Luxembourg,2008,2008,2721,,
HOPITBED,Total hospital beds,NOMBRENB,Number,LUX,Luxembourg,2009,2009,2721,,
HOPITBED,Total hospital beds,NOMBRENB,Number,LUX,Luxembourg,2010,2010,2721,,
HOPITBED,Total hospital beds,NOMBRENB,Number,LUX,Luxembourg,2011,2011,2736,,
HOPITBED,Total hospital beds,NOMBRENB,Number,LUX,Luxembourg,2012,2012,2736,,
HOPITBED,Total hospital beds,NOMBRENB,Number,LUX,Luxembourg,2013,2013,2810,,
HOPITBED,Total hospital beds,NOMBRENB,Number,LUX,Luxembourg,2014,2014,2811,,
HOPITBED,Total hospital beds,NOMBRENB,Number,LUX,Luxembourg,2015,2015,2810,,
HOPITBED,Total hospital beds,NOMBRENB,Number,LUX,Luxembourg,2016,2016,2789,,
HOPITBED,Total hospital beds,NOMBRENB,Number,LUX,Luxembourg,2017,2017,2765,,
HOPITBED,Total hospital beds,NOMBRENB,Number,MEX,Mexico,2000,2000,178574,,
HOPITBED,Total hospital beds,NOMBRENB,Number,MEX,Mexico,2001,2001,176810,,
HOPITBED,Total hospital beds,NOMBRENB,Number,MEX,Mexico,2002,2002,177548,,
HOPITBED,Total hospital beds,NOMBRENB,Number,MEX,Mexico,2003,2003,177807,,
HOPITBED,Total hospital beds,NOMBRENB,Number,MEX,Mexico,2004,2004,180623,,
HOPITBED,Total hospital beds,NOMBRENB,Number,MEX,Mexico,2005,2005,181575,,
HOPITBED,Total hospital beds,NOMBRENB,Number,MEX,Mexico,2006,2006,176252,,
HOPITBED,Total hospital beds,NOMBRENB,Number,MEX,Mexico,2007,2007,180583,,
HOPITBED,Total hospital beds,NOMBRENB,Number,MEX,Mexico,2008,2008,180953,,
HOPITBED,Total hospital beds,NOMBRENB,Number,MEX,Mexico,2009,2009,179340,,
HOPITBED,Total hospital beds,NOMBRENB,Number,MEX,Mexico,2010,2010,182007,,
HOPITBED,Total hospital beds,NOMBRENB,Number,MEX,Mexico,2011,2011,183528,,
HOPITBED,Total hospital beds,NOMBRENB,Number,MEX,Mexico,2012,2012,183953,,
HOPITBED,Total hospital beds,NOMBRENB,Number,MEX,Mexico,2013,2013,190935,,
HOPITBED,Total hospital beds,NOMBRENB,Number,MEX,Mexico,2014,2014,192726,,
HOPITBED,Total hospital beds,NOMBRENB,Number,MEX,Mexico,2015,2015,183527,,
HOPITBED,Total hospital beds,NOMBRENB,Number,MEX,Mexico,2016,2016,184882,,
HOPITBED,Total hospital beds,NOMBRENB,Number,NLD,Netherlands,2000,2000,76859,,
HOPITBED,Total hospital beds,NOMBRENB,Number,NLD,Netherlands,2001,2001,74625,B,Break
HOPITBED,Total hospital beds,NOMBRENB,Number,NLD,Netherlands,2002,2002,73814,,
HOPITBED,Total hospital beds,NOMBRENB,Number,NLD,Netherlands,2003,2003,73011,,
HOPITBED,Total hospital beds,NOMBRENB,Number,NLD,Netherlands,2004,2004,72804,,
HOPITBED,Total hospital beds,NOMBRENB,Number,NLD,Netherlands,2005,2005,72698,,
HOPITBED,Total hospital beds,NOMBRENB,Number,NLD,Netherlands,2006,2006,78140,B,Break
HOPITBED,Total hospital beds,NOMBRENB,Number,NLD,Netherlands,2007,2007,77680,,
